Заявка ФФ;Заявка ДДС;Штрихкод;Артикул;У ФФ в заявке;В заявке ДДС;Разница
WH-R-207540;ASM-707;2047297481653;INDI_180x230_ZVEZDA;20;0;20
WH-R-207540;ASM-707;2051088053912;case_2seat_romashki_серый;16;16;0
WH-R-207540;ASM-707;2051088053950;case_2seat_streli_молочный;16;16;0
WH-R-207540;ASM-707;2051088053936;case_2seat_streli_светло-серый;16;16;0
WH-R-207540;ASM-707;2051088053974;case_2seat_streli_серый;16;16;0
WH-R-207540;ASM-707;2051088053981;case_3seat_streli_серый;14;14;0
WH-R-207540;ASM-707;2042072507733;DIVANDEK_210x90_160x90_коричневый;252;252;0
WH-R-207540;ASM-707;2043160503699;DOROGOY_210x90_160x90_темно-серый ;32;32;0
WH-R-207540;ASM-707;2051086684323;GAZETA/210х90/160х90/бежевый;20;20;0
WH-R-207540;ASM-707;2051086684330;GAZETA/210х90/160х90/коричневый;20;20;0
WH-R-207540;ASM-707;2051086684316;GAZETA/210х90/160х90/темно-серый;20;20;0
WH-R-207540;ASM-707;2051393763469;KAPLI/210/160/бежевый;20;20;0
WH-R-207540;ASM-707;2051393763476;KAPLI/210/160/коричневый;20;20;0
WH-R-207540;ASM-707;2051393763483;KAPLI/210/160/темно-серый;20;20;0
WH-R-207540;ASM-707;2051393763490;KOLOSOK/210/160/бежевый;20;20;0
WH-R-207540;ASM-707;2051393763506;KOLOSOK/210/160/коричневый;20;20;0
WH-R-207540;ASM-707;2051393763513;KOLOSOK/210/160/темно-серый;20;20;0
WH-R-207540;ASM-707;2051086684231;KV/210х90/160х90/бежевый;20;20;0
WH-R-207540;ASM-707;2051086684248;KV/210х90/160х90/коричневый;20;20;0
WH-R-207540;ASM-707;2051086642132;KV/210х90/160х90/темно-серый;20;20;0
WH-R-207540;ASM-707;2045409879077;LOZA_210x90_160x90_коричневый;40;40;0
WH-R-207540;ASM-707;2051393707296;PASTILA/210/160/бежевый;20;20;0
WH-R-207540;ASM-707;2051393763414;PASTILA/210/160/коричневый;20;20;0
WH-R-207540;ASM-707;2051393763421;PASTILA/210/160/темно-серый;20;20;0
WH-R-207540;ASM-707;2051393763438;PLITKA/210/160/бежевый;20;20;0
WH-R-207540;ASM-707;2051393763445;PLITKA/210/160/коричневый;20;20;0
WH-R-207540;ASM-707;2051393763452;PLITKA/210/160/темно-серый;20;20;0
WH-R-207540;ASM-707;2051086684293;PROT/210х90/160х90/бежевый;20;20;0
WH-R-207540;ASM-707;2051086684309;PROT/210х90/160х90/коричневый;20;20;0
WH-R-207540;ASM-707;2051086684286;PROT/210х90/160х90/темно-серый;20;20;0
WH-R-207540;ASM-707;2044777276297;RADYGA_210x90_160x90_молочный;20;20;0
WH-R-207540;ASM-707;2051086684262;STRIH/210х90/160х90/бежевый;20;20;0
WH-R-207540;ASM-707;2051086684279;STRIH/210х90/160х90/коричневый;20;20;0
WH-R-207540;ASM-707;2051086684255;STRIH/210х90/160х90/темно-серый;20;20;0
WH-R-207546;ASM-715;2047297481653;INDI_180x230_ZVEZDA;80;0;80
WH-R-207546;ASM-715;2042072507733;DIVANDEK_210x90_160x90_коричневый;54;54;0
WH-R-207546;ASM-715;2046391995349;DIVANDEK_210x90_кофе ;26;26;0
WH-R-207546;ASM-715;2051086684323;GAZETA/210х90/160х90/бежевый;20;20;0
